ticker,isin,shortname,fullname,industry,supersector,sector,subsector,listing_status,listing_date,trading_status,equity_type,equity_class,marketdata_currency,financial_currency,last_update,alsi_member,top40_member,irregular_flag
CES,ZAE000013348,CHESTER,Chester Invstment Hldgs,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2002-11-11,,,
PKH,,PROTECH,Protech Khuthele Hldgs,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,Suspended,,SUSPENDED,,,,,2015-06-01,,,
PKN,0,,Pick N Pay Stores -N-,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1999-08-27,,,
CSM,0,CONSMNG,Consolid Mining Corp Ord,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1997-08-29,,,
CSL,ZAE000063251,CONSOL,Consol Ltd,Industrials,Industrials Goods & Services,General Industrials,Containers & Packaging,DELISTED,,,,,,,2007-04-10,,,
CSH,ZAE000022034,CSHOLDING,Cs Computer Services Hld,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2005-01-19,,,
CSG,,CSG,Csg Holdings Ltd,Industrials,,Support Services,,CURRENT,,,,,,,2015-06-01,,,
CSF,0,CGS-FOOD,C.G.Smith Foods Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1999-08-20,,,
CSB,,CASHBIL,Cashbuild Ltd,Consumer Services,Retail,General Retailers,Home Improvement Retailers,CURRENT,,,,,,,2015-06-01,,,
WOM,0,,World Of Music Hldgs Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1990-04-09,,,
WOL,,,World Of Leisure Holdgs,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1990-04-09,,,
CSY,ZAE000016127,CASEY,Casey Investment Hldgs,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2004-10-15,,,
CST,ZAE000013116,CAPSTAR,Capestar Groeth Inv Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2002-01-25,,,
CSP,,CHEMSPEC,Chemical Specialities Ld,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,Suspended,,,,,,,2015-06-01,,,
CGL,,,Cengold Holdings Limited,Basic Materials,Basic Resources,Mining,Gold Mining,DELISTED,,,,,,,1990-05-11,,,
CGN,,,Cognition Holdings Ltd,Technology,,Software & Computer Services,,CURRENT,,,,,,,2015-06-01,,,
MUR,,M&R-HLD,Murray & Roberts Hldgs,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,CURRENT,,,,,,,2015-06-01,,,
AER,,AMECOR,Amalgamated Elec Corp Lt,Industrials,Industrial Goods & Services,Electronic & Electrical Equipment,Electronic Equipment,CURRENT,,,,,,,2015-06-01,,,
MCRP,,,Mc Carthy Grp 5.5% Cumprf,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1998-07-24,,,
MUM,ZAE000058731,MOULDMED,Moulded Medical Supplies,Health Care,Health Care,Health Care Equipment & Services,Medical Equipment,DELISTED,,,,,,,2006-03-31,,,
